tipoDocumento,documento,nombreCompleto,caracterizacion
EIS,3965366891,NOMBRE_EIS_APELLIDO_3965366891,2
SITAC,6996169687,NOMBRE_SITAC_APELLIDO_6996169687,2
CC DIG,6262252661,NOMBRE_CC DIG_APELLIDO_6262252661,2
TI DUP,7397704392,NOMBRE_TI DUP_APELLIDO_7397704392,2
NUIP,5122139143,NOMBRE_NUIP_APELLIDO_5122139143,2
TI,9562286635,NOMBRE_TI_APELLIDO_9562286635,1
DCU,6432356118,NOMBRE_DCU_APELLIDO_6432356118,2
CC REC,1116205493,NOMBRE_CC REC_APELLIDO_1116205493,2
MTR,6848965283,NOMBRE_MTR_APELLIDO_6848965283,1
AFIS,5121705469,NOMBRE_AFIS_APELLIDO_5121705469,1
DCU,1612861467,NOMBRE_DCU_APELLIDO_1612861467,2
CC,8383293108,NOMBRE_CC_APELLIDO_8383293108,1
CC,8487010622,NOMBRE_CC_APELLIDO_8487010622,1
TI,4426092032,NOMBRE_TI_APELLIDO_4426092032,1
CC PV,6300089131,NOMBRE_CC PV_APELLIDO_6300089131,1
AFIS,5880060436,NOMBRE_AFIS_APELLIDO_5880060436,1
NUIP,9201944233,NOMBRE_NUIP_APELLIDO_9201944233,1
DCU,1707678973,NOMBRE_DCU_APELLIDO_1707678973,1
SIC,9363826672,NOMBRE_SIC_APELLIDO_9363826672,1
SITAC,1098221507,NOMBRE_SITAC_APELLIDO_1098221507,1
AFIS,3218814767,NOMBRE_AFIS_APELLIDO_3218814767,2
TI PV,7810530128,NOMBRE_TI PV_APELLIDO_7810530128,1
NIP,7553391314,NOMBRE_NIP_APELLIDO_7553391314,1
SIC,7185542794,NOMBRE_SIC_APELLIDO_7185542794,2
NUIP,3588566544,NOMBRE_NUIP_APELLIDO_3588566544,1
NIP,7142545256,NOMBRE_NIP_APELLIDO_7142545256,2
CC,7277658379,NOMBRE_CC_APELLIDO_7277658379,1
AFIS,4907688747,NOMBRE_AFIS_APELLIDO_4907688747,2
TI REN,3187885707,NOMBRE_TI REN_APELLIDO_3187885707,2
CC DIG,5453851260,NOMBRE_CC DIG_APELLIDO_5453851260,2
CC,5704982413,NOMBRE_CC_APELLIDO_5704982413,2
SITAC,7127138428,NOMBRE_SITAC_APELLIDO_7127138428,2
ABIS,2725356764,NOMBRE_ABIS_APELLIDO_2725356764,2
SIC,8432576332,NOMBRE_SIC_APELLIDO_8432576332,1
TI DUP,1190856046,NOMBRE_TI DUP_APELLIDO_1190856046,1
CC REC,8700823115,NOMBRE_CC REC_APELLIDO_8700823115,1
HLED-WEB,4629449589,NOMBRE_HLED-WEB_APELLIDO_4629449589,2
HLED-WEB,2375608750,NOMBRE_HLED-WEB_APELLIDO_2375608750,1
AFIS,7534312459,NOMBRE_AFIS_APELLIDO_7534312459,1
CC,5980347878,NOMBRE_CC_APELLIDO_5980347878,1
CC REN,7827642141,NOMBRE_CC REN_APELLIDO_7827642141,1
CC,5739786568,NOMBRE_CC_APELLIDO_5739786568,1
TI PV,9588493523,NOMBRE_TI PV_APELLIDO_9588493523,1
MTR,1162144461,NOMBRE_MTR_APELLIDO_1162144461,1
SITAC,1591028248,NOMBRE_SITAC_APELLIDO_1591028248,2
HLED-WEB,6208073705,NOMBRE_HLED-WEB_APELLIDO_6208073705,1
CC REC,6306466413,NOMBRE_CC REC_APELLIDO_6306466413,2
TI DUP,2579625831,NOMBRE_TI DUP_APELLIDO_2579625831,2
TI DUP,7815044933,NOMBRE_TI DUP_APELLIDO_7815044933,1
NIP,1015624350,NOMBRE_NIP_APELLIDO_1015624350,1
TI PV,3390292402,NOMBRE_TI PV_APELLIDO_3390292402,2
NUIP,6655392142,NOMBRE_NUIP_APELLIDO_6655392142,2
CC REC,9334494875,NOMBRE_CC REC_APELLIDO_9334494875,2
TI,5672240759,NOMBRE_TI_APELLIDO_5672240759,2
NUIP,4329506185,NOMBRE_NUIP_APELLIDO_4329506185,2
CC DUP,7638761484,NOMBRE_CC DUP_APELLIDO_7638761484,2
ANI,9129827766,NOMBRE_ANI_APELLIDO_9129827766,2
AFIS,2890582773,NOMBRE_AFIS_APELLIDO_2890582773,1
CC DIG,3764587150,NOMBRE_CC DIG_APELLIDO_3764587150,2
CC PV,2442375757,NOMBRE_CC PV_APELLIDO_2442375757,2
DCU,6571685089,NOMBRE_DCU_APELLIDO_6571685089,2
SITAC,9483583797,NOMBRE_SITAC_APELLIDO_9483583797,2
NUIP,7791661243,NOMBRE_NUIP_APELLIDO_7791661243,1
SITAC,9861362316,NOMBRE_SITAC_APELLIDO_9861362316,1
TI REN,8171998047,NOMBRE_TI REN_APELLIDO_8171998047,2
DCU,6229888072,NOMBRE_DCU_APELLIDO_6229888072,2
DCU,3036590919,NOMBRE_DCU_APELLIDO_3036590919,2
CC REC,9209502943,NOMBRE_CC REC_APELLIDO_9209502943,2
