tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,fondoOrigen,prePensionado,institucionPublica,condecoracion,hijosInpec,familiaPolicia,observacionDisciplinaria,numeroSemanas,declaraRenta
TI REC,2747078881,Sofía García,03102002,26,8,55,25,2,1,2,0,0,1,1,433,1
CC DIG,1998316288,Ana López,28051955,38,83,24,53,5,0,2,0,0,1,1,388,1
CC REC,0333361577,Laura Cifuentes,17081982,78,43,42,67,4,0,1,0,1,1,1,363,1
CC PV,4714700684,Manuela Murillo,17041963,79,11,14,97,1,0,6,1,1,1,0,384,1
TI,3993807211,Juan Perez,09091967,85,98,53,3,2,0,2,1,0,0,1,939,0
TI REN,1055412914,Luis López,01031939,58,80,28,75,2,1,5,0,0,1,1,251,0
CC REN,4134323445,David López,26111989,43,95,18,68,5,0,2,0,0,1,0,509,1
ANI,2011470689,David Murillo,28091954,58,54,97,39,3,0,4,1,0,1,1,115,0
CCT,7596247015,Marcela Martínez,03091995,83,40,38,52,1,1,1,0,1,0,0,635,0
CC DIG,9913011765,Sofía Perez,04011971,77,94,74,30,5,1,6,1,1,0,1,247,1
CC DIG,2342945193,Juan Rodríguez,26121911,75,42,1,55,1,0,3,1,1,1,0,489,1
AFIS,6593738090,María Rodríguez,15061963,8,99,53,75,1,1,5,0,1,1,1,573,1
TI,2046984907,Luis García,05071936,40,23,25,34,6,0,1,0,0,1,1,580,1
TI REN,7380559536,Carlos Perez,10081965,59,9,12,4,3,0,6,1,1,0,1,204,0
CC DIG,2856761061,Gabriela García,09061927,94,74,29,22,5,0,2,1,0,0,0,222,0
SITAC,4849402555,Laura Hurtado,14031940,60,94,73,25,1,0,6,1,1,1,1,460,0
EIS,4315768337,Ana Martínez,14121957,95,28,56,30,6,0,2,0,1,0,0,586,0
ANI,5225803637,David Castaneda,06111955,16,46,75,47,6,0,4,1,1,1,1,90,1
ABIS,9938839382,Manuela García,12051981,46,84,58,10,4,1,1,1,1,0,1,530,0
CCT,8368014719,Ana Perez,10011931,67,13,44,13,4,1,1,1,0,1,1,698,0
ANI,4745307313,Melissa Martínez,24081998,19,20,47,77,6,0,1,1,1,0,1,545,0
TI REN,2592892320,Melissa González,01072004,92,57,40,59,5,1,6,0,1,0,1,414,0
TI REN,4007504035,Daniela Martínez,10081964,9,53,19,31,1,1,2,0,0,1,0,368,1
CC REC,7999522350,Sofía Rodríguez,10091960,90,94,6,74,1,0,1,1,0,0,0,788,0
CC DUP,1568381692,Miguel Cartagena,02031997,90,53,25,58,6,1,4,0,1,0,1,326,1
CC PV,2443375002,Luis López,05061950,82,25,24,33,4,1,1,0,0,0,0,293,1
CC REC,5248633571,David Hurtado,18051999,99,32,80,15,4,1,5,1,0,1,0,26,1
TI,3468885373,Laura Rodríguez,28052009,49,61,80,4,6,1,5,0,0,0,1,626,1
CC PV,2371562329,Sofía Rodríguez,06041990,91,32,64,96,4,1,2,0,1,1,0,581,0
ABIS,4176851936,Daniela Cifuentes,10071967,74,36,68,4,1,0,2,1,1,1,0,512,0
DCU,6700343381,Melissa González,06071956,90,6,66,93,2,1,5,1,0,1,0,131,1
DCU,2230167130,Luis Hurtado,03011959,57,63,61,90,2,1,2,0,0,0,1,574,0
CC REN,6132700207,Melissa Murillo,02061936,86,74,58,47,1,1,3,1,0,0,1,790,0
EIS,3776554968,Luis Rodríguez,13011942,62,70,1,58,2,1,4,0,0,0,0,1,0
NUIP,7833944735,Manuela Cifuentes,06041945,64,6,88,25,3,0,2,1,1,1,1,685,1
SITAC,6252498344,Melissa Cifuentes,08101986,5,54,40,12,6,1,4,0,1,0,0,122,1
CC DUP,1698262469,Marcela García,05011997,21,25,78,30,5,0,1,1,1,1,0,404,1
