tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia
SIC,8214761700,Luis García,11061997,8,73,8,83,0
HLED-WEB,8957171399,Miguel Murillo,02082000,47,83,47,94,1
ANI,4984145158,Carlos Cifuentes,11071972,70,1,70,43,1
ANI,3588717485,Juan Cifuentes,10101931,47,36,47,15,1
CC PV,1754222429,Laura Cartagena,27072014,86,55,86,58,0
ABIS,6545051706,Gabriela Perez,02071953,95,34,95,32,0
CC DIG,8339551549,David Perez,08061984,73,91,73,36,0
TI REN,4493886208,Ana Hernández,12051932,85,60,85,53,0
MTR,0565755592,Juan Perez,27111985,15,2,15,15,0
CC REC,7944615220,Manuela Murillo,05021961,8,98,8,11,0
CC DIG,1294744445,Laura Castaneda,13112002,17,60,17,16,0
CC,3868590245,Gabriela Murillo,20112000,44,21,44,51,1
NUIP,3799665225,Laura Cifuentes,20011966,17,13,17,35,0
NIP,2045195545,Gabriela Perez,27072006,73,35,73,65,1
TI DUP,4608389410,Gabriela García,24091999,19,38,19,94,0
HLED-WEB,4866100339,Daniela Rodríguez,25061960,15,67,15,16,1
CC,2759694158,Melissa Cifuentes,22092000,95,11,95,25,0
CC,1307984492,Carlos Hurtado,18031983,76,4,76,75,1
AFIS,2687830819,Sofía López,19022005,47,78,47,1,0
CC PV,1570040849,Juan Rodríguez,05021939,95,98,95,100,1
TI DUP,5286368347,Daniela Cartagena,24051927,94,59,94,35,0
SIC,2581501794,Miguel Hurtado,11041941,97,4,97,58,1
SITAC,7082806906,Daniela Rodríguez,07042009,68,68,68,16,0
CC PV,4093765423,Laura Castaneda,10061947,66,4,66,60,0
CC,8160406804,Laura Murillo,01112001,20,6,20,10,1
AFIS,1217761715,Manuela Hernández,11111956,47,75,47,55,0
CC REN,0716735755,Daniela Murillo,13011988,99,15,99,55,1
SIC,6491825054,Sofía Murillo,22041951,91,19,91,53,0
CC DIG,2880168974,Juan Martínez,20102002,91,65,91,40,0
TI REC,3550968705,Marcela Murillo,25031981,11,40,11,83,0
NIP,5280355519,Manuela Cartagena,04021962,20,87,20,16,1
CC DUP,4904309655,Manuela Hurtado,16062008,88,87,88,25,1
TI,2160279505,María Murillo,20081963,11,83,11,42,0
TI,2132191569,Melissa Rodríguez,12031933,88,52,88,74,0
CCT,0387042512,Luis Cifuentes,05011933,85,32,85,42,0
ABIS,4155016509,María García,17101932,15,100,15,93,1
TI PV,4909401820,Laura Perez,24051999,25,54,25,88,1
TI PV,4810274837,Laura Castaneda,02031995,47,87,47,19,0
ABIS,3125524718,Carlos Hernández,07021965,23,44,23,99,1
NUIP,6312707860,Laura Rodríguez,01091961,95,53,95,26,0
TI PV,0377042316,David Hernández,07061958,95,35,95,81,0
HLED-WEB,3671556642,Manuela Perez,19011965,17,78,17,97,0
MTR,7598714123,Laura Martínez,15111948,19,15,19,24,1
TI REN,6866808657,Gabriela Rodríguez,15081968,50,42,50,77,1
SITAC,7061200368,Luis Martínez,21121935,20,100,20,31,0
EIS,5942418673,María Hernández,23051976,73,59,73,45,1
HLED-WEB,7762986539,Melissa Hurtado,16121927,50,54,50,30,0
TI REN,5157200019,David Hernández,14081997,44,77,44,45,1
TI DUP,5116536703,David Murillo,05081931,76,94,76,21,1
TI REC,5256881521,Sofía Rodríguez,05102007,23,4,23,74,1
CC REC,2827407450,Laura Cartagena,12112008,81,3,81,65,0
ABIS,3114982510,Miguel González,16102004,47,15,47,32,0
SIC,1383989253,Gabriela Murillo,17031952,68,88,68,40,1
NUIP,2651791062,Carlos Perez,03071977,47,43,47,40,0
DCU,8245792871,Laura González,13121956,63,88,63,74,1
