tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia
DCU,1612861467,NOMBRE_DCU_APELLIDO_1612861467,14012000,63,1,63,1,0
CC,1094962750,John Alexander Cifuentes Murillo,01071997,63,1,63,1,0
TI,6968089075,Luis López,22101959,8,75,8,75,0
TI REN,4434432052,Gabriela Hurtado,22031952,50,83,50,40,0
NUIP,1862917686,Daniela Perez,18091938,44,22,44,16,1
ANI,8902233851,Juan Hernández,14081992,85,93,85,36,0
CC,6847503718,Melissa Cartagena,16021983,20,59,20,20,1
MTR,5838284638,Carlos Perez,28021956,20,100,20,52,1
TI REN,5679103769,Marcela Cifuentes,10091908,63,35,63,38,0
NIP,6641675830,Manuela García,01101991,50,41,50,36,0
CC REN,2965523444,Juan Martínez,12091932,66,10,66,95,0
TI DUP,3855992815,Ana Cartagena,06021945,85,90,85,90,0
CC DUP,7372748935,Ana Rodríguez,19121989,11,91,11,88,1
CC DIG,6965296461,Laura Rodríguez,23111945,95,29,95,53,0
NUIP,5214923130,David Castaneda,15051976,50,13,50,20,1
MTR,9528019057,Manuela Hernández,11101987,5,95,5,26,1
TI PV,5761658185,Marcela Rodríguez,09101950,94,62,94,90,1
CCT,7092918464,María Perez,21081993,18,4,18,91,0
EIS,0248154255,Melissa López,18091967,44,29,44,95,1
SIC,3966661555,Carlos González,19071960,99,68,99,3,0
DCU,2336902928,Luis Hernández,27012001,15,43,15,81,1
CC DIG,5437163519,Gabriela García,28051942,19,26,19,42,1
CC,9707545079,Ana Murillo,09061940,54,1,54,79,1
TI REN,5993924949,Miguel Perez,25011966,11,38,11,44,0
CC REN,7879847278,Juan González,22061975,76,30,76,4,1
EIS,6079718414,María Cartagena,02101987,81,30,81,16,0
TI,9403406894,Sofía Cifuentes,14031938,17,78,17,93,0
TI REC,4309588272,Gabriela Hurtado,19021960,13,44,13,4,1
CC REN,6531009016,María Murillo,22011956,17,52,17,34,1
TI DUP,5242647288,Carlos Hernández,10021959,97,86,97,55,1
EIS,6400632778,Marcela Hernández,13021930,63,35,63,20,0
ABIS,1035441830,María González,08111946,13,53,13,41,1
ANI,2299692325,Carlos Castaneda,03011976,19,43,19,78,0
DCU,6642101586,Melissa Rodríguez,15101954,76,26,76,99,1
CC PV,1392866917,Melissa López,07061987,99,54,99,47,1
ANI,9740824061,Manuela López,24111938,44,21,44,86,0
CC DUP,6639587999,Sofía Martínez,10112008,73,38,73,95,1
CC DIG,9174388770,Daniela Murillo,22041951,85,31,85,3,0
CC DIG,8610409968,María Castaneda,20091965,44,45,44,2,0
TI REC,4475830950,Melissa García,21071925,97,100,97,45,0
TI REC,5237433529,Melissa Castaneda,09111958,81,87,81,19,0
CCT,9062547788,Carlos Martínez,16071906,17,40,17,24,1
CC DUP,3936647995,Juan Perez,07021970,94,87,94,24,1
CC DIG,0322435337,Laura Perez,25021970,70,75,70,44,0
TI DUP,8016403635,María López,09061972,94,47,94,86,1
ANI,0722113183,David López,12091915,94,38,94,68,0
SITAC,7195563728,Gabriela Rodríguez,28061978,8,4,8,11,0
TI REN,9697217452,Gabriela Hernández,14022006,86,6,86,44,1
EIS,1488698430,Carlos Rodríguez,09071932,99,62,99,47,0
AFIS,4889231091,Marcela Cifuentes,21041971,17,52,17,45,1
EIS,2229704571,Luis González,03011931,68,68,68,24,0
ANI,7483392494,Juan Martínez,04101961,19,41,19,31,0
ABIS,5008329976,Juan Martínez,20121966,44,53,44,54,1
SIC,1720815350,Melissa Cartagena,19061941,27,20,27,92,0
CC,4631795758,Miguel Cifuentes,18071996,97,34,97,41,0
CC REC,2861819943,Carlos Hernández,16101929,54,58,54,68,1
CC REN,0225928288,Carlos Martínez,05081943,76,47,76,59,1
HLED-WEB,1496531589,Marcela Murillo,28111968,50,4,50,62,0
TI REN,7711841095,Carlos Hernández,04091942,76,50,76,54,0
ANI,9116618891,Carlos González,15021948,68,55,68,13,1
TI DUP,0445196144,Luis González,01041999,23,83,23,11,1
TI PV,4577115223,Miguel Murillo,21062004,94,58,94,24,1
HLED-WEB,8441664982,Juan López,14101960,95,21,95,25,1
CC PV,1729904068,Laura Cifuentes,05091930,91,35,91,13,0
NIP,4920838368,Juan Hurtado,16032009,20,55,20,38,1
CCT,3188113704,David Martínez,08082006,50,30,50,59,1
SITAC,7577361334,Ana Cartagena,06071947,13,30,13,2,0
CC REC,9173013686,Marcela Hurtado,19041977,44,54,44,87,0
CC REC,2932826323,Carlos López,08061930,85,42,85,98,1
DCU,5348483761,Luis Murillo,08091969,76,32,76,44,0
AFIS,2493128632,Luis Rodríguez,23031956,19,75,19,2,1
MTR,3768965857,Daniela Hernández,11081963,85,81,85,52,0
TI,8433177532,David Hurtado,20091934,13,36,13,30,0
NIP,5809488319,David Hurtado,05051954,73,35,73,78,1
MTR,1410965353,Sofía González,08091932,81,99,81,79,1
CC DUP,3721857172,Juan Cifuentes,21071979,94,19,94,79,1
CC REN,1555506447,María Hurtado,02091927,19,20,19,99,0
TI REN,3489581813,María García,13071993,20,2,20,16,1
CC REN,0713424813,Daniela López,16021959,5,52,5,58,0
ABIS,9225273524,Daniela López,23121956,88,51,88,10,1
TI DUP,6130815569,Sofía Murillo,09101976,8,25,8,4,0
TI REC,9206951261,María López,11011986,23,77,23,83,0
CCT,7959144818,Laura García,16091984,19,74,19,94,0
NUIP,4158391835,Ana García,24061940,11,59,11,99,0
MTR,0071275502,Juan González,01081925,17,81,17,68,0
DCU,5526568026,David Rodríguez,19121932,20,22,20,26,0
CC,8461644582,Sofía García,19051930,44,58,44,60,1
SITAC,1552200274,David Perez,25021933,94,83,94,100,0
TI REC,1905033520,Marcela González,25101934,73,26,73,34,0
NIP,4452032476,Sofía García,10071971,97,54,97,44,0
EIS,7016629531,Miguel Rodríguez,15051985,20,95,20,53,1
CC,3467252895,Daniela Perez,13081941,23,83,23,83,0
CC REC,5440216658,Melissa Martínez,28031959,47,15,47,1,1
CC REC,4911601179,Daniela López,16041933,18,78,18,19,0
HLED-WEB,7449155643,Melissa Perez,23091963,47,98,47,42,0
CC PV,2024642481,Laura Hernández,17011958,99,88,99,43,0
MTR,4791523109,Manuela Cifuentes,24052001,94,91,94,90,1
AFIS,3863207726,Ana Martínez,24051963,73,1,73,31,0
CC,1973881732,Melissa Cartagena,17012003,50,100,50,58,1
AFIS,6432633488,Manuela Murillo,25041932,73,11,73,10,0
AFIS,4175071288,María Castaneda,24061941,81,11,81,98,1
CC,0959606980,Marcela García,28061957,20,52,20,2,1
TI,1588693727,Laura Rodríguez,25121972,88,65,88,53,1
ANI,5108913203,María García,21111979,68,92,68,34,1
TI REC,5018916421,Melissa Perez,02031955,73,75,73,93,0
TI REN,0514738844,Sofía Martínez,15061986,15,13,15,81,0
TI PV,8524746868,Juan Murillo,02011934,50,45,50,78,1
EIS,5017012791,Manuela López,17071955,15,26,15,6,1
SIC,3901521691,Ana Perez,18102005,95,16,95,24,1
AFIS,4584390280,Gabriela Castaneda,24111977,5,86,5,25,1
TI,7785842064,Juan López,21081939,25,78,25,86,0
MTR,5480077102,Carlos Hernández,08082003,47,86,47,36,1
DCU,4079299427,Luis Cartagena,09121934,44,60,44,52,0
TI REC,5787919269,Melissa López,24081943,86,62,86,78,1
CC REC,8871355483,Melissa García,10062000,54,97,54,35,0
HLED-WEB,1901446809,Sofía García,21051986,8,22,8,40,0
TI PV,4524679725,Luis Martínez,26032006,63,98,63,75,0
EIS,0600898787,Juan Hernández,12061965,17,79,17,75,1
EIS,5880581839,Sofía Martínez,16031981,99,2,99,83,0
CC,8761835403,Juan González,06091967,25,3,25,81,1
NUIP,8730747231,Manuela Castaneda,15031936,70,97,70,75,1
SITAC,9337439466,David Castaneda,01071994,44,41,44,93,1
SITAC,6777639132,María Perez,18101948,27,52,27,31,0
AFIS,8211818135,Sofía Cifuentes,13101933,41,6,41,36,1
DCU,0307309243,Gabriela López,28022003,86,68,86,68,0
CC PV,7893674228,Daniela Cifuentes,28012003,20,77,20,78,0
DCU,6700254588,Melissa Perez,14082004,50,62,50,79,1
TI,5824543386,Ana Hernández,19071991,95,3,95,3,1
AFIS,3102699064,Miguel Perez,25081964,17,52,17,86,0
MTR,5493114748,Miguel Perez,05011962,20,60,20,21,0
CC PV,8871474215,Marcela Hurtado,16111926,85,68,85,94,1
DCU,8742460094,Juan Rodríguez,16111997,85,43,85,52,0
ANI,4281431243,Juan González,21071980,91,10,91,88,0
HLED-WEB,0132567762,Sofía Cifuentes,06101939,27,24,27,52,0
SITAC,5888894342,Marcela Hurtado,21021948,19,86,19,86,1
CC DIG,7566249321,María Castaneda,18111953,44,86,44,22,1
CC REC,9247328698,Carlos Rodríguez,03091933,13,59,13,81,0
TI,1696168047,Manuela Cifuentes,02011978,91,11,91,65,0
TI DUP,4422810379,Daniela González,01081988,63,90,63,73,1
TI,8188795028,Marcela Hernández,16061966,11,74,11,42,1
CC REN,8752471469,Gabriela López,12122004,73,22,73,83,1
NUIP,6203677761,Daniela Perez,13051977,97,19,97,24,1
TI REN,2687270864,Sofía Hernández,03091977,95,53,95,77,0
